Numero,Titulo,Tutorial,Combinación,Titulo para word,Covers,ListCovers,ListTutorial
10051,A Mi Manera(Vicente Fernandez),https://youtu.be/hfhOWKQjMP8,"Song('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/hfhOWKQjMP8'),",A Mi Manera(Vicente Fernandez)10051,https://youtu.be/MPEn___y4Jw,"Cover('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/MPEn___y4Jw'),","Tutoriales('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/hfhOWKQjMP8'),"
10009,Aint No Sunshine(Bill Withers),https://youtu.be/eKjiHRKak80,"Song('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/eKjiHRKak80'),",Aint No Sunshine(Bill Withers)10009,https://youtu.be/R6qLZrZOzy8,"Cover('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/R6qLZrZOzy8'),","Tutoriales('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/eKjiHRKak80'),"
10007,Almohada(José José),https://youtu.be/5o4nAVP5kZQ,"Song('Almohada(José José)10007', 'https://youtu.be/5o4nAVP5kZQ'),",Almohada(José José)10007,,,"Tutoriales('Almohada(José José)10007', 'https://youtu.be/5o4nAVP5kZQ'),"
10024,Amigo(Roberto Carlos),https://youtu.be/E-KktTv0aic,"Song('Amigo(Roberto Carlos)10024', 'https://youtu.be/E-KktTv0aic'),",Amigo(Roberto Carlos)10024,https://youtu.be/eM3pvCPLwMc,"Cover('Amigo(Roberto Carlos)10024', 'https://youtu.be/eM3pvCPLwMc'),","Tutoriales('Amigo(Roberto Carlos)10024', 'https://youtu.be/E-KktTv0aic'),"
10042,Amor del Bueno(Reyli Barba),https://youtu.be/zj5W1KFIUig,"Song('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/zj5W1KFIUig'),",Amor del Bueno(Reyli Barba)10042,https://youtu.be/aksRPHiwFf8,"Cover('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/aksRPHiwFf8'),","Tutoriales('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/zj5W1KFIUig'),"
10014,Amor Eterno(Juan Gabriel),https://youtu.be/nEVviclBJnA,"Song('Amor Eterno(Juan Gabriel)10014', 'https://youtu.be/nEVviclBJnA'),",Amor Eterno(Juan Gabriel)10014,,,"Tutoriales('Amor Eterno(Juan Gabriel)10014', 'https://youtu.be/nEVviclBJnA'),"
10068,Amores Lejanos(Enanitos Verdes),,"Song('Amores Lejanos(Enanitos Verdes)10068', ''),",Amores Lejanos(Enanitos Verdes)10068,https://youtu.be/jdF8QT_xvWA,"Cover('Amores Lejanos(Enanitos Verdes)10068', 'https://youtu.be/jdF8QT_xvWA'),","Tutoriales('Amores Lejanos(Enanitos Verdes)10068', ''),"
10069,Anhelante(Gualberto Ibarreto),,"Song('Anhelante(Gualberto Ibarreto)10069', ''),",Anhelante(Gualberto Ibarreto)10069,https://youtu.be/QKpzGv9QV-Y,"Cover('Anhelante(Gualberto Ibarreto)10069', 'https://youtu.be/QKpzGv9QV-Y'),","Tutoriales('Anhelante(Gualberto Ibarreto)10069', ''),"
10030,Arrullo de Estrellas(Zoé),https://youtu.be/-3Tx8dSj_B4,"Song('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/-3Tx8dSj_B4'),",Arrullo de Estrellas(Zoé)10030,https://youtu.be/kVTvRey5ifA,"Cover('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/kVTvRey5ifA'),","Tutoriales('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/-3Tx8dSj_B4'),"
10065,Baby Can I Hold You(Tracy Chapman),,"Song('Baby Can I Hold You(Tracy Chapman)10065', ''),",Baby Can I Hold You(Tracy Chapman)10065,https://youtu.be/s8ka2ProbBA,"Cover('Baby Can I Hold You(Tracy Chapman)10065', 'https://youtu.be/s8ka2ProbBA'),","Tutoriales('Baby Can I Hold You(Tracy Chapman)10065', ''),"
10004,Cama y Mesa(Roberto Carlos),https://youtu.be/3HUM3aoCyVk,"Song('Cama y Mesa(Roberto Carlos)10004', 'https://youtu.be/3HUM3aoCyVk'),",Cama y Mesa(Roberto Carlos)10004,https://youtu.be/MkK0rOMeDgI,"Cover('Cama y Mesa(Roberto Carlos)10004', 'https://youtu.be/MkK0rOMeDgI'),","Tutoriales('Cama y Mesa(Roberto Carlos)10004', 'https://youtu.be/3HUM3aoCyVk'),"
10001,Canción de Otoño(José Luis Perales),https://youtu.be/9mjVds37sqM,"Song('Canción de Otoño(José Luis Perales)10001', 'https://youtu.be/9mjVds37sqM'),",Canción de Otoño(José Luis Perales)10001,,,"Tutoriales('Canción de Otoño(José Luis Perales)10001', 'https://youtu.be/9mjVds37sqM'),"
10056,Canción Para Tí(Frank Quintero),https://youtu.be/KX0LPkKGVhM,"Song('Canción Para Tí(Frank Quintero)10056', 'https://youtu.be/KX0LPkKGVhM'),",Canción Para Tí(Frank Quintero)10056,https://youtu.be/O53k4mJRATY,"Cover('Canción Para Tí(Frank Quintero)10056', 'https://youtu.be/O53k4mJRATY'),","Tutoriales('Canción Para Tí(Frank Quintero)10056', 'https://youtu.be/KX0LPkKGVhM'),"
10046,Chasing Cars(Snow Patrol),https://youtu.be/kQx9lhRofhM,"Song('Chasing Cars(Snow Patrol)10046', 'https://youtu.be/kQx9lhRofhM'),",Chasing Cars(Snow Patrol)10046,https://youtu.be/dF3dGyl5Ovw,"Cover('Chasing Cars(Snow Patrol)10046', 'https://youtu.be/dF3dGyl5Ovw'),","Tutoriales('Chasing Cars(Snow Patrol)10046', 'https://youtu.be/kQx9lhRofhM'),"
10035,Cielo(Benny Ibarra),https://youtu.be/StAHxy9mGuQ,"Song('Cielo(Benny Ibarra)10035', 'https://youtu.be/StAHxy9mGuQ'),",Cielo(Benny Ibarra)10035,https://youtu.be/-GJ-O4WL7as,"Cover('Cielo(Benny Ibarra)10035', 'https://youtu.be/-GJ-O4WL7as'),","Tutoriales('Cielo(Benny Ibarra)10035', 'https://youtu.be/StAHxy9mGuQ'),"
10058,Como Dueles en los Labios(Maná),https://youtu.be/MXrJC5xMqi4,"Song('Como Dueles en los Labios(Maná)10058', 'https://youtu.be/MXrJC5xMqi4'),",Como Dueles en los Labios(Maná)10058,https://youtu.be/lKaryGkX0Jg,"Cover('Como Dueles en los Labios(Maná)10058', 'https://youtu.be/lKaryGkX0Jg'),","Tutoriales('Como Dueles en los Labios(Maná)10058', 'https://youtu.be/MXrJC5xMqi4'),"
10071,Costumbres(Roberto Carlos),https://youtu.be/7KuGad5jsrY,"Song('Costumbres(Roberto Carlos)10071', 'https://youtu.be/7KuGad5jsrY'),",Costumbres(Roberto Carlos)10071,,,"Tutoriales('Costumbres(Roberto Carlos)10071', 'https://youtu.be/7KuGad5jsrY'),"
10019,Counting Blue Cars(Dishwalla),https://youtu.be/geE2hnxtWNU,"Song('Counting Blue Cars(Dishwalla)10019', 'https://youtu.be/geE2hnxtWNU'),",Counting Blue Cars(Dishwalla)10019,https://youtu.be/h2xIqD5UpqY,"Cover('Counting Blue Cars(Dishwalla)10019', 'https://youtu.be/h2xIqD5UpqY'),","Tutoriales('Counting Blue Cars(Dishwalla)10019', 'https://youtu.be/geE2hnxtWNU'),"
10040,Creo en Ti(Reik),https://youtu.be/jkdfDYo5WFs,"Song('Creo en Ti(Reik)10040', 'https://youtu.be/jkdfDYo5WFs'),",Creo en Ti(Reik)10040,https://youtu.be/9u1fo6z45Rg,"Cover('Creo en Ti(Reik)10040', 'https://youtu.be/9u1fo6z45Rg'),","Tutoriales('Creo en Ti(Reik)10040', 'https://youtu.be/jkdfDYo5WFs'),"
10031,Cuando Nadie Me Ve(Alejandro Sanz),https://youtu.be/mnNpEYPlld8,"Song('Cuando Nadie Me Ve(Alejandro Sanz)10031', 'https://youtu.be/mnNpEYPlld8'),",Cuando Nadie Me Ve(Alejandro Sanz)10031,https://youtu.be/oZ-GYgivpiQ,"Cover('Cuando Nadie Me Ve(Alejandro Sanz)10031', 'https://youtu.be/oZ-GYgivpiQ'),","Tutoriales('Cuando Nadie Me Ve(Alejandro Sanz)10031', 'https://youtu.be/mnNpEYPlld8'),"
10002,De Corazón a Corazón(Roberto Carlos),https://youtu.be/bWZ8KEa_VWs,"Song('De Corazón a Corazón(Roberto Carlos)10002', 'https://youtu.be/bWZ8KEa_VWs'),",De Corazón a Corazón(Roberto Carlos)10002,https://youtu.be/B5dkqKAz6Cc,"Cover('De Corazón a Corazón(Roberto Carlos)10002', 'https://youtu.be/B5dkqKAz6Cc'),","Tutoriales('De Corazón a Corazón(Roberto Carlos)10002', 'https://youtu.be/bWZ8KEa_VWs'),"
10044,Demons(Imagine Dragons),https://youtu.be/Kb62ppxS4Dg,"Song('Demons(Imagine Dragons)10044', 'https://youtu.be/Kb62ppxS4Dg'),",Demons(Imagine Dragons)10044,https://youtu.be/2YP-3ERYT08,"Cover('Demons(Imagine Dragons)10044', 'https://youtu.be/2YP-3ERYT08'),","Tutoriales('Demons(Imagine Dragons)10044', 'https://youtu.be/Kb62ppxS4Dg'),"
10067,Desde que llegaste(Reyli Barba),,"Song('Desde que llegaste(Reyli Barba)10067', ''),",Desde que llegaste(Reyli Barba)10067,https://youtu.be/2yLVMsyg6u0,"Cover('Desde que llegaste(Reyli Barba)10067', 'https://youtu.be/2yLVMsyg6u0'),","Tutoriales('Desde que llegaste(Reyli Barba)10067', ''),"
10057,Días de Junio(Yordano),https://youtu.be/UAoNwlB8EK8,"Song('Días de Junio(Yordano)10057', 'https://youtu.be/UAoNwlB8EK8'),",Días de Junio(Yordano)10057,https://youtu.be/dDgNfjLHNvM,"Cover('Días de Junio(Yordano)10057', 'https://youtu.be/dDgNfjLHNvM'),","Tutoriales('Días de Junio(Yordano)10057', 'https://youtu.be/UAoNwlB8EK8'),"
10016,Eden(Hooverphonic),https://youtu.be/K1ekFRbag_g,"Song('Eden(Hooverphonic)10016', 'https://youtu.be/K1ekFRbag_g'),",Eden(Hooverphonic)10016,https://youtu.be/GkQrFtjXMGM,"Cover('Eden(Hooverphonic)10016', 'https://youtu.be/GkQrFtjXMGM'),","Tutoriales('Eden(Hooverphonic)10016', 'https://youtu.be/K1ekFRbag_g'),"
10037,El día que me quieras(Roberto Carlos),https://youtu.be/rYpSIPlDA5w,"Song('El día que me quieras(Roberto Carlos)10037', 'https://youtu.be/rYpSIPlDA5w'),",El día que me quieras(Roberto Carlos)10037,https://youtu.be/7s69RXd07cc,"Cover('El día que me quieras(Roberto Carlos)10037', 'https://youtu.be/7s69RXd07cc'),","Tutoriales('El día que me quieras(Roberto Carlos)10037', 'https://youtu.be/rYpSIPlDA5w'),"
10045,Eres(Alejandro Fernández),https://youtu.be/MatG_JFgvqI,"Song('Eres(Alejandro Fernández)10045', 'https://youtu.be/MatG_JFgvqI'),",Eres(Alejandro Fernández)10045,https://youtu.be/Q1c5EnErx7I,"Cover('Eres(Alejandro Fernández)10045', 'https://youtu.be/Q1c5EnErx7I'),","Tutoriales('Eres(Alejandro Fernández)10045', 'https://youtu.be/MatG_JFgvqI'),"
10072,Fantasmas(Humbe),https://youtu.be/Bhl5Z0rEY5s,"Song('Fantasmas(Humbe)10072', 'https://youtu.be/Bhl5Z0rEY5s'),",Fantasmas(Humbe)10072,,"Cover('Fantasmas(Humbe)10072', ''),","Tutoriales('Fantasmas(Humbe)10072', 'https://youtu.be/Bhl5Z0rEY5s'),"
10017,Feel(Robbie Williams),https://youtu.be/CaHiYMYtMFA,"Song('Feel(Robbie Williams)10017', 'https://youtu.be/CaHiYMYtMFA'),",Feel(Robbie Williams)10017,https://youtu.be/N3FcxzQcIMI,"Cover('Feel(Robbie Williams)10017', 'https://youtu.be/N3FcxzQcIMI'),","Tutoriales('Feel(Robbie Williams)10017', 'https://youtu.be/CaHiYMYtMFA'),"
10012,Fluorescent Adolescent(Arctic Monkeys),https://youtu.be/tJHm9XC9k1I,"Song('Fluorescent Adolescent(Arctic Monkeys)10012', 'https://youtu.be/tJHm9XC9k1I'),",Fluorescent Adolescent(Arctic Monkeys)10012,,,"Tutoriales('Fluorescent Adolescent(Arctic Monkeys)10012', 'https://youtu.be/tJHm9XC9k1I'),"
10039,Fotografía(Juanes),https://youtu.be/Kxf2u2XdPlI,"Song('Fotografía(Juanes)10039', 'https://youtu.be/Kxf2u2XdPlI'),",Fotografía(Juanes)10039,https://youtu.be/v8SFTP8AZhg,"Cover('Fotografía(Juanes)10039', 'https://youtu.be/v8SFTP8AZhg'),","Tutoriales('Fotografía(Juanes)10039', 'https://youtu.be/Kxf2u2XdPlI'),"
10008,Gotas de Fuego(José José),https://youtu.be/BPeQnQ9qHow,"Song('Gotas de Fuego(José José)10008', 'https://youtu.be/BPeQnQ9qHow'),",Gotas de Fuego(José José)10008,https://youtu.be/kg8AxvnGpSs,"Cover('Gotas de Fuego(José José)10008', 'https://youtu.be/kg8AxvnGpSs'),","Tutoriales('Gotas de Fuego(José José)10008', 'https://youtu.be/BPeQnQ9qHow'),"
10052,Hoy Tengo Ganas de Tí(Miguel Gallardo),https://youtu.be/qm9mQop5iG4,"Song('Hoy Tengo Ganas de Tí(Miguel Gallardo)10052', 'https://youtu.be/qm9mQop5iG4'),",Hoy Tengo Ganas de Tí(Miguel Gallardo)10052,https://youtu.be/FpEO64qpyMk,"Cover('Hoy Tengo Ganas de Tí(Miguel Gallardo)10052', 'https://youtu.be/FpEO64qpyMk'),","Tutoriales('Hoy Tengo Ganas de Tí(Miguel Gallardo)10052', 'https://youtu.be/qm9mQop5iG4'),"
10034,La Condena(Elefante),https://youtu.be/W21NM_AxR-0,"Song('La Condena(Elefante)10034', 'https://youtu.be/W21NM_AxR-0'),",La Condena(Elefante)10034,https://youtu.be/RhKCcyj4K_Q,"Cover('La Condena(Elefante)10034', 'https://youtu.be/RhKCcyj4K_Q'),","Tutoriales('La Condena(Elefante)10034', 'https://youtu.be/W21NM_AxR-0'),"
10029,La Mujer que Amo(Roberto Carlos),https://youtu.be/JG08XMiDrVA,"Song('La Mujer que Amo(Roberto Carlos)10029', 'https://youtu.be/JG08XMiDrVA'),",La Mujer que Amo(Roberto Carlos)10029,https://youtu.be/UjpZs3g29RA,"Cover('La Mujer que Amo(Roberto Carlos)10029', 'https://youtu.be/UjpZs3g29RA'),","Tutoriales('La Mujer que Amo(Roberto Carlos)10029', 'https://youtu.be/JG08XMiDrVA'),"
10025,La Puerta Azul(Maná),https://youtu.be/U0rUnZ8FDng,"Song('La Puerta Azul(Maná)10025', 'https://youtu.be/U0rUnZ8FDng'),",La Puerta Azul(Maná)10025,https://youtu.be/YURktLzV95M,"Cover('La Puerta Azul(Maná)10025', 'https://youtu.be/YURktLzV95M'),","Tutoriales('La Puerta Azul(Maná)10025', 'https://youtu.be/U0rUnZ8FDng'),"
10018,La Que Me Gusta(Los Amigos Invisibles),https://youtu.be/4dgJMre6W38,"Song('La Que Me Gusta(Los Amigos Invisibles)10018', 'https://youtu.be/4dgJMre6W38'),",La Que Me Gusta(Los Amigos Invisibles)10018,https://youtu.be/Yquy0p86brc,"Cover('La Que Me Gusta(Los Amigos Invisibles)10018', 'https://youtu.be/Yquy0p86brc'),","Tutoriales('La Que Me Gusta(Los Amigos Invisibles)10018', 'https://youtu.be/4dgJMre6W38'),"
10049,Labios Rotos(Zoé),https://youtu.be/8iCzBug4Ayo,"Song('Labios Rotos(Zoé)10049', 'https://youtu.be/8iCzBug4Ayo'),",Labios Rotos(Zoé)10049,https://youtu.be/KGyuQV2GZmc,"Cover('Labios Rotos(Zoé)10049', 'https://youtu.be/KGyuQV2GZmc'),","Tutoriales('Labios Rotos(Zoé)10049', 'https://youtu.be/8iCzBug4Ayo'),"
10021,Llorona(Angela Aguilar),https://youtu.be/IGqptlXgtHM,"Song('Llorona(Angela Aguilar)10021', 'https://youtu.be/IGqptlXgtHM'),",Llorona(Angela Aguilar)10021,,,"Tutoriales('Llorona(Angela Aguilar)10021', 'https://youtu.be/IGqptlXgtHM'),"
10066,Luz de Día(Enanitos Verdes),,"Song('Luz de Día(Enanitos Verdes)10066', ''),",Luz de Día(Enanitos Verdes)10066,https://youtu.be/4brIpI8-enQ,"Cover('Luz de Día(Enanitos Verdes)10066', 'https://youtu.be/4brIpI8-enQ'),","Tutoriales('Luz de Día(Enanitos Verdes)10066', ''),"
10041,Mariposa Traicionera(Maná),https://youtu.be/H1MiFwQ5Q5o,"Song('Mariposa Traicionera(Maná)10041', 'https://youtu.be/H1MiFwQ5Q5o'),",Mariposa Traicionera(Maná)10041,https://youtu.be/nBTGA_Eo4UU,"Cover('Mariposa Traicionera(Maná)10041', 'https://youtu.be/nBTGA_Eo4UU'),","Tutoriales('Mariposa Traicionera(Maná)10041', 'https://youtu.be/H1MiFwQ5Q5o'),"
